lat,lon,ele,time,speed,haccuracy,vaccuracy
60.138431,24.637465,14.0,2025-05-29T06:33:36.442Z,5.443199999999999,5.0,0.0
60.123281,24.658734,14.0,2025-05-29T06:46:07.976Z,5.326560000000001,2.0,0.0
60.111674,24.6733,13.0,2025-05-29T06:58:52.004Z,2.6244,2.0,0.0
60.099532,24.687569,14.0,2025-05-29T07:11:09.987Z,5.851439999999999,1.0,0.0
60.079407,24.698762,15.0,2025-05-29T07:23:59.060Z,5.9292,2.0,0.0
60.059462,24.709804,15.0,2025-05-29T07:36:41.021Z,5.851439999999999,2.0,0.0
60.042255,24.721753,16.0,2025-05-29T07:49:26.128Z,5.890319999999999,1.0,0.0
60.022769,24.734814,13.0,2025-05-29T08:02:13.106Z,5.7348,2.0,0.0
60.003368,24.742494,16.0,2025-05-29T08:15:02.166Z,5.50152,1.0,0.0
59.98389,24.741742,18.0,2025-05-29T08:27:52.171Z,5.50152,2.0,0.0
59.964815,24.739103,15.0,2025-05-29T08:40:43.174Z,5.5404,2.0,0.0
59.945303,24.740195,14.0,2025-05-29T08:53:30.231Z,5.404319999999999,1.0,0.0
59.926075,24.740983,15.0,2025-05-29T09:06:20.256Z,5.443199999999999,1.0,0.0
59.906818,24.739741,17.0,2025-05-29T09:19:11.259Z,5.404319999999999,1.0,0.0
59.88745,24.738212,15.0,2025-05-29T09:32:02.301Z,5.346,2.0,0.0
59.868342,24.731109,14.0,2025-05-29T09:44:53.275Z,5.48208,2.0,0.0
59.848767,24.729777,16.0,2025-05-29T09:57:30.315Z,5.65704,2.0,0.0
59.828623,24.726346,17.0,2025-05-29T10:10:20.347Z,5.5404,1.0,0.0
59.808968,24.724203,17.0,2025-05-29T10:23:08.331Z,5.57928,2.0,0.0
59.789131,24.721841,18.0,2025-05-29T10:35:42.355Z,5.79312,2.0,0.0
59.768985,24.722209,18.0,2025-05-29T10:48:30.393Z,5.6376,2.0,0.0
59.748827,24.724491,17.0,2025-05-29T11:01:21.420Z,5.65704,2.0,0.0
59.728508,24.725712,16.0,2025-05-29T11:14:12.431Z,5.754239999999999,2.0,0.0
59.708339,24.723637,17.0,2025-05-29T11:27:01.421Z,5.6376,2.0,0.0
59.688419,24.719105,17.0,2025-05-29T11:39:51.440Z,5.67648,2.0,0.0
59.66849,24.713105,18.0,2025-05-29T11:52:47.453Z,5.5404,1.0,0.0
59.648105,24.709067,18.0,2025-05-29T12:05:40.454Z,5.773680000000001,2.0,0.0
59.62784,24.707179,15.0,2025-05-29T12:18:32.525Z,5.7348,1.0,0.0
59.607504,24.708205,14.0,2025-05-29T12:31:23.537Z,5.90976,2.0,0.0
59.586629,24.7171,16.0,2025-05-29T12:44:14.536Z,5.90976,2.0,0.0
59.566586,24.726936,15.0,2025-05-29T12:57:05.564Z,5.69592,2.0,0.0
59.546279,24.737677,16.0,2025-05-29T13:09:56.543Z,5.7153599999999996,2.0,0.0
59.527202,24.747302,16.0,2025-05-29T13:22:47.636Z,5.443199999999999,2.0,0.0
59.509455,24.758291,16.0,2025-05-29T13:35:38.628Z,5.07384,2.0,0.0
59.491169,24.756166,16.0,2025-05-29T13:48:29.654Z,5.326560000000001,2.0,0.0
59.470713,24.744825,12.0,2025-05-29T14:01:16.854Z,6.1624799999999995,2.0,0.0
